id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
ECG0901,Ecuador,Guayas,Guayaquil,,2020-03-30,15.0,,,571.9767682999999,2755212.0930000003,191703.086,0.069578342,-80.15987812,-2.332294716,99.22421142,64.79277971,290.908994,93.52,72.66,75.89,50.0
ECG0902,Ecuador,Guayas,Alfredo Baquerizo Moreno,,2020-03-30,0.0,,,116.2608387,29413.99219,2239.862261,0.076149553,-79.54742291,-1.946946497,40.32684825,33.07574748,201.614786,93.52,72.66,75.89,50.0
ECG0903,Ecuador,Guayas,Balao,,2020-03-30,0.0,,,52.06284017,24677.78624,1477.595788,0.05987554,-79.73408007,-2.892595129,76.50759219,39.92577364,162.7527115,93.52,72.66,75.89,50.0
ECG0904,Ecuador,Guayas,Balzar,,2020-03-30,0.0,,,47.01542383,65163.37742,5040.568087,0.077352777,-79.90730481,-1.290248668,64.10151188,46.45018823,181.1403888,93.52,72.66,75.89,50.0
ECG0905,Ecuador,Guayas,Colimes,,2020-03-30,0.0,,,32.73049326,29228.33048,2766.138329,0.094638944,-80.08754466,-1.530974859,57.77097506,48.75639838,241.7437642,93.52,72.66,75.89,50.0
ECG0906,Ecuador,Guayas,Daule,,2020-03-30,3.0,,,290.2333732,159628.3553,12009.56246,0.075234517,-79.94320245,-1.900898573,11.42057762,12.61479607,88.53790614,93.52,72.66,75.89,50.0
ECG0907,Ecuador,Guayas,Duran,,2020-03-30,1.0,,,773.2200614,269080.5814,14254.73701,0.052975718,-79.77702911,-2.230851392,15.54285714,13.41818135,83.40857143,93.52,72.66,75.89,50.0
ECG0908,Ecuador,Guayas,Empalme,,2020-03-30,0.0,,,107.2082261,89947.70172000003,6206.923934,0.069005921,-79.66026123,-0.987886756,25.34730539,21.53788555,114.51377250000002,93.52,72.66,75.89,50.0
ECG0909,Ecuador,Guayas,El Triunfo,,2020-03-30,0.0,,,116.5318648,52905.46664,3759.226423,0.071055539,-79.38129526,-2.318170035,53.57582418,25.78016852,140.6637363,93.52,72.66,75.89,50.0
ECG0910,Ecuador,Guayas,Milagro,,2020-03-30,0.0,,,428.2810323,200435.5231,15838.65194,0.079021186,-79.5601145,-2.118305282,10.2793177,10.67136096,82.445629,93.52,72.66,75.89,50.0
ECG0911,Ecuador,Guayas,Naranjal,,2020-03-30,0.0,,,41.05600808,83548.97645,5073.4831920000015,0.060724661,-79.60765248,-2.53511979,102.9909729,66.87200932,240.3415246,93.52,72.66,75.89,50.0
