id,iso2,iso1_3n,iso1_3c,iso1_2c,iso2_uid,admin,admin0,admin1,admin2,admin3,level,mean,sum,sum_o65,perc_o65,centroid_longitude,centroid_latitude,mean_city,mean_motor,mean_walk,nameid
CLBI21,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Nacimiento,,Municipality,19.765924,26229.383,3291.9441,0.12550597,-72.822159,-37.484955,55.737953,33.893383,198.00377,"Biobio, Chile"
CLBI22,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Negrete,,Municipality,40.270401,9101.1104,1250.4232,0.13739239,-72.575706,-37.607578,24.117905,7.5076575,51.860264,"Biobio, Chile"
CLBI23,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Penco,,Municipality,377.54108,60406.57,6387.5938,0.10574336,-72.944214,-36.747826,11.590062,7.9732857,65.770187,"Biobio, Chile"
CLBI24,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Quilaco,,Municipality,2.1454775,3550.7651,633.65778,0.17845668,-71.70475,-37.960999,189.29674,104.07861,376.57297,"Biobio, Chile"
CLBI25,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Quilleco,,Municipality,6.379952,10469.501,1752.8547,0.16742486,-71.861382,-37.436798,100.92505,57.754032,241.33151,"Biobio, Chile"
CLBI26,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,San Pedro De La Paz,,Municipality,723.82391,122326.24,11575.758,0.094630212,-73.097809,-36.879986,6.8639054,5.809443,34.650887,"Biobio, Chile"
CLBI27,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,San Rosendo,,Municipality,24.096703,3349.4417,468.19156,0.13978197,-72.720856,-37.213047,43.79562,10.888166,65.262772,"Biobio, Chile"
CLBI28,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Santa Barbara,,Municipality,10.486012,19315.234,2985.7375,0.15457942,-71.749191,-37.621288,157.08894,98.280449,330.70172,"Biobio, Chile"
CLBI29,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Santa Juana,,Municipality,12.629975,14284.502,2395.9185,0.16772853,-72.959991,-37.276089,47.944397,22.837132,127.3707,"Biobio, Chile"
CLBI3,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Arauco,,Municipality,36.106537,50982.434,5778.647,0.11334585,-73.399796,-37.288361,49.819942,26.063473,135.55165,"Biobio, Chile"
