id,admin0,admin1,admin2,admin3,level,admin,iso2,iso1_3n,iso2_uid,iso1_3c,iso1_2c,nameid,mean,sum,sum_o65,perc_o65,centroid_longitude,centroid_latitude,mean_city,mean_motor,mean_walk
ECH0602,Ecuador,Chimborazo,Alausi,,canton,2,H,218,EC-H,ECU,EC,"Alausi, Chimborazo, Ecuador",26.26600796,50903.52343,5745.680435,0.11287393,-78.74182755,-2.295535603,196.1600618,152.460296,380.9701493
ECH0603,Ecuador,Chimborazo,Colta,,canton,2,H,218,EC-H,ECU,EC,"Colta, Chimborazo, Ecuador",52.34820006,51353.58426,7769.463548,0.1512935,-78.84406541,-1.815744463,57.95816327,41.8652778,190.4081633
ECH0604,Ecuador,Chimborazo,Chambo,,canton,2,H,218,EC-H,ECU,EC,"Chambo, Chimborazo, Ecuador",71.81024955,13859.37816,1438.176181,0.10376917,-78.53915286,-1.758820889,63.13020833,45.5938479,183.1197917
ECH0605,Ecuador,Chimborazo,Chunchi,,canton,2,H,218,EC-H,ECU,EC,"Chunchi, Chimborazo, Ecuador",45.75869469,14505.50622,2007.351375,0.13838547,-78.90544657,-2.334509392,97.52848101,55.05469043,198.1582278
ECH0606,Ecuador,Chimborazo,Guamote,,canton,2,H,218,EC-H,ECU,EC,"Guamote, Chimborazo, Ecuador",36.58551765,51951.43507,4065.491695,0.078255616,-78.63859907,-2.038737066,98.72249474,88.05672603,421.9978977
ECH0607,Ecuador,Chimborazo,Guano,,canton,2,H,218,EC-H,ECU,EC,"Guano, Chimborazo, Ecuador",93.07208917,49979.71188,5829.305542,0.11663344,-78.68193888,-1.560015887,33.32342007,24.11328191,141.1486989
ECH0608,Ecuador,Chimborazo,Pallatanga,,canton,2,H,218,EC-H,ECU,EC,"Pallatanga, Chimborazo, Ecuador",29.99819965,13379.19704,1640.603713,0.12262348,-78.93029951,-2.017025535,114.0674157,67.02587502,262.2516854
ECH0609,Ecuador,Chimborazo,Penipe,,canton,2,H,218,EC-H,ECU,EC,"Penipe, Chimborazo, Ecuador",18.08936483,7687.980054,1586.193272,0.20632119,-78.44992871,-1.566421758,184.2232558,134.2086457,249.5767442
ECH0610,Ecuador,Chimborazo,Cumanda,,canton,2,H,218,EC-H,ECU,EC,"Cumanda, Chimborazo, Ecuador",78.05799543,14518.78715,1200.823617,0.082708262,-79.05098586,-2.205088281,102.4891304,50.4443573,148.9891304
ECI1001,Ecuador,Imbabura,Ibarra,,canton,2,I,218,EC-I,ECU,EC,"Ibarra, Imbabura, Ecuador",165.4781676,213135.8798,21936.774,0.10292389,-78.08674157,0.329279117,73.3601859,53.11295174,172.5917893
